# N mu
0.9	0.0121551783299149
1	0.0183156388887342
1.1	0.0270518468663504
1.2	0.0391638950989871
1.3	0.0555762126114831
1.4	0.0773047404432998
1.5	0.105399224561864
1.6	0.140858420921045
1.7	0.184519523992989
1.8	0.236927758682122
1.9	0.298197279429887
2	0.367879441171442
2.1	0.444858066222941
2.2	0.527292424043049
2.3	0.612626394184416
2.4	0.697676326071031
2.5	0.778800783071405
2.6	0.852143788966211
2.7	0.913931185271228
2.8	0.960789439152323
2.9	0.990049833749168
3	1
3.1	0.990049833749168
3.2	0.960789439152323
3.3	0.913931185271228
3.4	0.852143788966211
3.5	0.778800783071405
3.6	0.697676326071031
3.7	0.612626394184416
3.8	0.527292424043048
3.9	0.444858066222941
4	0.367879441171442
4.1	0.298197279429888
4.2	0.236927758682122
4.3	0.184519523992989
4.4	0.140858420921045
4.5	0.105399224561864
4.6	0.0773047404432996
4.7	0.055576212611483
4.8	0.0391638950989871
4.9	0.0270518468663504
5	0.0183156388887342
5.1	0.0121551783299149
