# N mu
0	0.0184367883634139
0.1	0.0272684541744721
0.2	0.0395421465266302
0.3	0.0562206194553087
0.4	0.0783743557068013
0.5	0.107126210329081
0.6	0.143565671915587
0.7	0.188630981049475
0.8	0.242961412139493
0.9	0.306727816650836
1	0.379457133061091
1.1	0.459875680804568
1.2	0.545805493960323
1.3	0.6341551520613
1.4	0.721047379213975
1.5	0.80211500900937
1.6	0.8729705813758
1.7	0.929812561995622
1.8	0.970079509450632
1.9	0.993016946255041
2	1
2.1	0.99447624546611
2.2	0.981464870829782
2.3	0.966659212890242
2.4	0.955299567067048
2.5	0.951070906430176
2.6	0.955299567067048
2.7	0.966659212890242
2.8	0.981464870829782
2.9	0.99447624546611
3	1
3.1	0.993016946255041
3.2	0.970079509450632
3.3	0.929812561995622
3.4	0.8729705813758
3.5	0.80211500900937
3.6	0.721047379213975
3.7	0.6341551520613
3.8	0.545805493960323
3.9	0.459875680804568
4	0.379457133061091
4.1	0.306727816650837
4.2	0.242961412139493
4.3	0.188630981049475
4.4	0.143565671915586
4.5	0.107126210329081
4.6	0.0783743557068012
4.7	0.0562206194553087
4.8	0.0395421465266302
4.9	0.027268454174472
5	0.0184367883634139
5.1	0.0122214180908704
